epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,121.369,1.18301,1.85138,1.31299,1.23678,0.25668,0.40625,0.25703,0.10718,0.2119,0.47902,0.16517,0.07637,2.14459,6.93516,3.00561,2.3111,0.0017129,0.0017129,0.0017129
31,125.316,1.17341,1.86663,1.23433,1.24777,0.43589,0.40625,0.36757,0.15875,0.30662,0.3125,0.23572,0.11139,2.07513,8.4883,2.45124,2.38799,0.001703,0.001703,0.001703
32,130.989,1.23208,1.9476,1.29231,1.23975,0.45024,0.43515,0.34227,0.16849,0.45024,0.43515,0.29732,0.1422,2.00707,7.08877,2.28185,2.27799,0.0016931,0.0016931,0.0016931
33,134.302,1.24933,1.95854,1.31319,1.27263,0.66844,0.46875,0.45086,0.19058,0.56768,0.4105,0.35837,0.16353,1.93763,6.42357,2.0061,2.21284,0.0016832,0.0016832,0.0016832
34,137.468,1.11346,1.76204,1.17587,1.19736,0.51173,0.5569,0.47466,0.18627,0.43725,0.38877,0.35411,0.15376,1.92724,6.13456,1.87883,2.05705,0.0016733,0.0016733,0.0016733
35,140.6,1.12649,1.7616,1.16936,1.20463,0.51355,0.40625,0.43517,0.17751,0.57847,0.38629,0.41567,0.13751,2.03761,6.20905,2.01578,1.98907,0.0016634,0.0016634,0.0016634
36,144.668,1.24774,1.843,1.11798,1.21696,0.49662,0.375,0.32338,0.15154,0.44643,0.40625,0.3019,0.11998,2.15402,6.2351,2.08626,2.19002,0.0016535,0.0016535,0.0016535
37,149.973,1.2388,1.96579,1.14985,1.24412,0.53012,0.46875,0.36772,0.18692,0.53012,0.46875,0.35503,0.16193,2.01659,6.99422,2.00414,2.1262,0.0016436,0.0016436,0.0016436
38,153.295,1.24388,1.84988,1.21104,1.22799,0.55024,0.59375,0.402,0.18409,0.51965,0.5625,0.36387,0.15997,2.0971,7.18437,1.91086,2.20225,0.0016337,0.0016337,0.0016337
39,156.378,1.17455,1.78066,1.06027,1.21197,0.6411,0.40625,0.38713,0.21792,0.6411,0.40625,0.35551,0.16,1.94103,6.43496,1.90584,2.08461,0.0016238,0.0016238,0.0016238
40,159.512,1.18786,1.82565,1.10403,1.26577,0.47839,0.4375,0.33863,0.15258,0.49655,0.37004,0.29218,0.14118,2.09312,6.29717,2.09021,2.09627,0.0016139,0.0016139,0.0016139
41,163.55,1.23667,1.9637,1.26563,1.2719,0.49352,0.28125,0.25688,0.11498,0.38847,0.28125,0.21674,0.07867,2.31988,7.42476,2.20173,2.29275,0.001604,0.001604,0.001604
42,168.654,1.18932,1.77683,1.14101,1.18755,0.44729,0.40625,0.29297,0.12002,0.46715,0.34375,0.27436,0.08875,2.31508,6.43541,2.39722,2.24433,0.0015941,0.0015941,0.0015941
43,171.738,1.15515,1.94234,1.1952,1.22886,0.40509,0.40436,0.28873,0.13516,0.38446,0.375,0.2681,0.11258,2.09312,5.20549,2.31636,2.09918,0.0015842,0.0015842,0.0015842
44,174.839,1.14448,1.83804,1.10198,1.21591,0.4148,0.53125,0.36013,0.20425,0.4148,0.53125,0.36428,0.18194,1.93929,4.72652,1.96757,1.97436,0.0015743,0.0015743,0.0015743
45,177.952,1.17163,1.78337,1.10458,1.23621,0.55624,0.4375,0.39936,0.21421,0.55624,0.4375,0.39851,0.20576,2.04545,4.75866,2.07075,2.01504,0.0015644,0.0015644,0.0015644
46,182.246,1.16897,1.92336,1.06558,1.21211,0.63387,0.4375,0.4554,0.24924,0.63387,0.4375,0.4496,0.21793,2.03199,3.96054,1.93023,2.00881,0.0015545,0.0015545,0.0015545
47,187.44,1.13893,1.81397,1.1028,1.1849,0.54539,0.46875,0.43714,0.23049,0.4288,0.5,0.3933,0.20498,1.94181,4.12515,1.91234,1.98331,0.0015446,0.0015446,0.0015446
48,190.732,1.09419,1.72283,1.04942,1.16196,0.47244,0.40625,0.39725,0.18099,0.47244,0.40625,0.33678,0.15791,2.11294,4.57548,2.03496,2.19092,0.0015347,0.0015347,0.0015347
49,193.857,1.09371,1.72141,0.96876,1.18352,0.56829,0.40625,0.4078,0.16463,0.56829,0.40625,0.37722,0.15875,2.18168,5.11246,1.98239,2.25637,0.0015248,0.0015248,0.0015248
