epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4679,1.95537,4.38364,1.98216,0.41751,0.13175,0.03733,0.01428,2.48591,6.73142,2.22856,0.00027151,0.00027151,0.00027151
2,30.0781,1.96495,3.25899,1.87173,0.42822,0.1127,0.04958,0.01206,2.42644,5.40408,2.83707,0.000546275,0.000546275,0.000546275
3,37.6226,2.04211,3.15128,1.93614,0.00278,0.04921,0.00214,0.00083,2.40288,98.9263,3.45037,0.000809723,0.000809723,0.000809723
4,47.4721,2.13066,3.33237,2.07493,0.01243,0.04921,0.00401,0.00085,3.84747,152.689,5.20006,0.00106185,0.00106185,0.00106185
5,55.619,2.25599,3.11429,2.19854,0.00019,0.1,0.00012,3e-05,3.50385,inf,30.2254,0.00130266,0.00130266,0.00130266
6,65.1845,2.05103,2.86892,2.03264,0.0006,0.13333,0.00047,0.00015,2.97731,inf,25.7506,0.00128753,0.00128753,0.00128753
7,73.6562,2.09001,2.77498,2.07789,0.02222,0.17619,0.00605,0.00225,2.54656,inf,8.29899,0.00125923,0.00125923,0.00125923
8,82.2414,2.04509,2.7561,2.09521,0.11206,0.21293,0.03923,0.0108,2.75642,48.9147,3.86527,0.00123094,0.00123094,0.00123094
9,90.73,1.9628,2.54696,1.99801,0.17558,0.16508,0.15077,0.07268,2.39999,81.5696,3.31118,0.00120265,0.00120265,0.00120265
10,99.8768,2.06052,2.48794,2.11068,0.26703,0.09781,0.09798,0.05037,2.76788,38.4283,3.46732,0.00117435,0.00117435,0.00117435
11,109.653,1.87859,2.18458,1.93272,0.10129,0.26032,0.12605,0.07088,3.07673,21.0467,3.30344,0.00114606,0.00114606,0.00114606
12,117.764,1.92949,2.21944,1.97297,0.46203,0.16984,0.22199,0.08099,2.57345,13.3706,3.00224,0.00111776,0.00111776,0.00111776
13,128.233,1.91151,2.29264,1.94675,0.56987,0.25529,0.18282,0.09039,2.7692,6.94652,3.30867,0.00108947,0.00108947,0.00108947
14,136.214,1.97303,2.41462,1.97086,0.74104,0.1127,0.12902,0.05538,2.63625,4.51099,3.0123,0.00106118,0.00106118,0.00106118
15,146.34,1.7482,2.18915,1.81946,0.35048,0.20952,0.15792,0.05708,2.80208,4.54083,2.97283,0.00103288,0.00103288,0.00103288
16,154.03,1.68411,2.02147,1.7517,0.26327,0.23333,0.1795,0.07334,2.92098,2.82699,2.89687,0.00100459,0.00100459,0.00100459
17,163.932,1.85171,2.15766,1.90922,0.36757,0.52495,0.39722,0.16798,2.14964,2.85887,2.51874,0.000976293,0.000976293,0.000976293
18,171.945,1.75238,1.99275,1.78942,0.44129,0.4384,0.38392,0.17891,2.28245,3.61733,2.4352,0.000947999,0.000947999,0.000947999
19,181.967,1.80553,1.94624,1.82508,0.48538,0.37074,0.32885,0.15853,2.31595,2.62648,2.40907,0.000919704,0.000919704,0.000919704
20,189.69,1.77958,2.00606,1.79719,0.38357,0.38213,0.2886,0.13672,2.36794,3.46176,2.34051,0.00089141,0.00089141,0.00089141
21,199.022,1.80277,2.01916,1.78887,0.44929,0.41587,0.35969,0.18894,2.33217,4.65389,2.38692,0.000863116,0.000863116,0.000863116
22,208.042,1.69837,1.86612,1.75677,0.38272,0.29683,0.32307,0.1805,2.65772,3.34044,2.94017,0.000834822,0.000834822,0.000834822
23,217.609,1.65951,1.6928,1.7044,0.40482,0.44762,0.44832,0.22387,2.09293,2.32694,2.4613,0.000806528,0.000806528,0.000806528
24,227.439,1.62372,1.69812,1.69595,0.44198,0.48185,0.45369,0.24783,2.16367,2.29462,2.53698,0.000778233,0.000778233,0.000778233
25,235.867,1.67655,1.80543,1.69391,0.76372,0.50258,0.53568,0.29574,1.68939,2.09449,2.09557,0.000749939,0.000749939,0.000749939
26,246.044,1.59301,1.6258,1.67554,0.7824,0.52063,0.56902,0.26673,1.70983,1.96041,2.14167,0.000721645,0.000721645,0.000721645
27,253.823,1.62695,1.67337,1.7061,0.70613,0.53812,0.5825,0.29174,2.19982,2.60105,2.51648,0.000693351,0.000693351,0.000693351
28,263.949,1.6543,1.57028,1.73089,0.66427,0.4873,0.54734,0.26863,2.21648,2.63298,2.53928,0.000665057,0.000665057,0.000665057
29,272.088,1.52347,1.58564,1.63149,0.76037,0.54607,0.59304,0.31486,2.15396,2.31249,2.46554,0.000636762,0.000636762,0.000636762
30,282.089,1.62271,1.55827,1.65296,0.69927,0.49571,0.55952,0.29135,2.24928,2.16884,2.50037,0.000608468,0.000608468,0.000608468
31,291.08,1.52809,1.47541,1.62617,0.78255,0.51146,0.58007,0.30802,1.95915,1.77793,2.21349,0.000580174,0.000580174,0.000580174
32,299.91,1.49057,1.59043,1.61339,0.90998,0.52773,0.6316,0.3174,2.05748,1.54216,2.37718,0.00055188,0.00055188,0.00055188
33,310.214,1.53416,1.59387,1.60854,0.67117,0.48889,0.56735,0.28449,2.46725,1.93825,2.79093,0.000523586,0.000523586,0.000523586
34,318.137,1.48182,1.413,1.57806,0.6875,0.58413,0.59122,0.3106,2.06692,1.90091,2.40219,0.000495291,0.000495291,0.000495291
35,327.967,1.55072,1.43377,1.63025,0.88486,0.39672,0.59631,0.32098,1.95985,1.96704,2.3624,0.000466997,0.000466997,0.000466997
36,335.731,1.53062,1.40987,1.63445,0.5656,0.60914,0.6148,0.33001,1.81601,1.68341,2.25833,0.000438703,0.000438703,0.000438703
37,346.263,1.47342,1.40193,1.60655,0.8282,0.56634,0.67616,0.35634,1.99971,1.4493,2.3079,0.000410409,0.000410409,0.000410409
38,354.102,1.54843,1.46395,1.66142,0.85588,0.58172,0.65784,0.35417,2.01499,1.45958,2.40989,0.000382115,0.000382115,0.000382115
39,364.45,1.42743,1.33894,1.56202,0.7663,0.58871,0.61197,0.29716,1.87459,1.53472,2.20028,0.00035382,0.00035382,0.00035382
40,372.301,1.41922,1.3765,1.53824,0.80634,0.53519,0.66028,0.3396,1.90306,1.63278,2.18834,0.000325526,0.000325526,0.000325526
41,382.55,1.38326,1.36659,1.64345,0.67256,0.65808,0.68589,0.38027,1.85875,1.35548,2.07627,0.000297232,0.000297232,0.000297232
42,391.305,1.3417,1.18267,1.57501,0.6793,0.63929,0.67791,0.38993,1.74533,1.36732,1.99643,0.000268938,0.000268938,0.000268938
43,400.292,1.3267,1.19199,1.54621,0.77037,0.67143,0.70994,0.37305,1.81685,1.38329,2.16707,0.000240644,0.000240644,0.000240644
44,408.648,1.26187,1.14357,1.54923,0.71319,0.68628,0.67136,0.34192,1.87231,1.37852,2.17716,0.000212349,0.000212349,0.000212349
45,417.11,1.20475,1.08256,1.45086,0.87794,0.69533,0.771,0.39717,1.77396,1.52324,2.08439,0.000184055,0.000184055,0.000184055
46,426.968,1.2379,1.05482,1.47207,0.8399,0.68864,0.77457,0.4171,1.79281,1.38602,2.13046,0.000155761,0.000155761,0.000155761
47,435.63,1.25801,1.03721,1.50303,0.77267,0.74444,0.77574,0.41485,1.92876,1.35254,2.25869,0.000127467,0.000127467,0.000127467
48,444.995,1.23771,0.9982,1.44647,0.79032,0.74444,0.76439,0.40853,1.80935,1.35298,2.14362,9.91726e-05,9.91726e-05,9.91726e-05
49,452.51,1.21492,1.00293,1.49064,0.76142,0.68469,0.7296,0.42638,1.68912,1.17997,1.97309,7.08784e-05,7.08784e-05,7.08784e-05
50,461.964,1.23656,0.93791,1.45671,0.74128,0.70476,0.73331,0.42537,1.69872,1.17253,1.97136,4.25842e-05,4.25842e-05,4.25842e-05
