epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,373.685,1.55485,1.48261,1.65843,0.5659,0.47937,0.51173,0.26505,2.01346,1.95581,2.32134,0.000848969,0.000848969,0.000848969
43,381.2,1.53849,1.57553,1.64774,0.62256,0.49266,0.52148,0.27538,2.16836,2.00177,2.61241,0.000834822,0.000834822,0.000834822
44,391.897,1.51509,1.54475,1.61853,0.76166,0.46508,0.57348,0.32277,2.22484,2.15196,2.61356,0.000820675,0.000820675,0.000820675
45,400.067,1.47395,1.40383,1.5565,0.81462,0.51067,0.59355,0.32569,2.24178,2.29213,2.45391,0.000806528,0.000806528,0.000806528
46,409.533,1.43017,1.46804,1.57586,0.76412,0.49804,0.63111,0.32842,2.08078,2.0443,2.29801,0.00079238,0.00079238,0.00079238
47,418.618,1.43792,1.37175,1.58242,0.86812,0.489,0.65352,0.34007,1.97504,1.63582,2.19879,0.000778233,0.000778233,0.000778233
48,429.232,1.39861,1.42297,1.53938,0.76441,0.56825,0.64513,0.34243,1.9795,1.83833,2.26103,0.000764086,0.000764086,0.000764086
49,437.327,1.41891,1.35104,1.54083,0.77919,0.45453,0.59131,0.33144,1.86745,2.01453,2.25083,0.000749939,0.000749939,0.000749939
50,446.475,1.50629,1.35715,1.58508,0.61819,0.54225,0.60209,0.29059,1.9905,2.42505,2.26529,0.000735792,0.000735792,0.000735792
51,454.313,1.46613,1.39366,1.53461,0.56611,0.57916,0.58807,0.31424,2.01578,1.91191,2.31135,0.000721645,0.000721645,0.000721645
52,463.982,1.48189,1.35514,1.56408,0.74324,0.54444,0.61673,0.33587,1.80402,1.73725,2.11803,0.000707498,0.000707498,0.000707498
53,471.897,1.43255,1.2552,1.49148,0.81025,0.5127,0.61726,0.3112,1.95982,1.93104,2.29638,0.000693351,0.000693351,0.000693351
54,480.813,1.43845,1.34069,1.51917,0.65995,0.61746,0.63473,0.32998,1.98139,1.79032,2.41347,0.000679204,0.000679204,0.000679204
55,488.766,1.37318,1.23682,1.46766,0.60697,0.59957,0.65198,0.35995,2.04851,1.81826,2.40375,0.000665057,0.000665057,0.000665057
56,497.734,1.42057,1.21095,1.54186,0.65856,0.60402,0.62779,0.34856,2.09196,1.52721,2.44736,0.000650909,0.000650909,0.000650909
57,505.711,1.40889,1.24267,1.52334,0.79597,0.57625,0.64544,0.31978,2.04501,1.55502,2.35502,0.000636762,0.000636762,0.000636762
58,514.504,1.35873,1.25708,1.50739,0.68817,0.54287,0.65016,0.35114,1.83979,1.57146,2.1148,0.000622615,0.000622615,0.000622615
59,522.474,1.36668,1.19492,1.49596,0.58093,0.67473,0.65885,0.36308,1.7224,1.61288,2.03334,0.000608468,0.000608468,0.000608468
60,531.58,1.28721,1.16176,1.4408,0.69305,0.6067,0.56956,0.30694,2.0382,1.77846,2.27325,0.000594321,0.000594321,0.000594321
61,539.621,1.30792,1.09516,1.43116,0.74554,0.65715,0.6902,0.35516,2.16125,1.89515,2.45309,0.000580174,0.000580174,0.000580174
62,548.59,1.36875,1.20065,1.52521,0.865,0.69443,0.74305,0.37628,1.94642,1.38724,2.23595,0.000566027,0.000566027,0.000566027
63,557.67,1.3025,1.07058,1.40957,0.66703,0.64769,0.68956,0.35217,2.12747,1.43692,2.52462,0.00055188,0.00055188,0.00055188
64,566.927,1.37645,1.20616,1.50575,0.56983,0.68083,0.64405,0.35185,2.13126,1.56633,2.55012,0.000537733,0.000537733,0.000537733
65,575.866,1.39032,1.24357,1.51211,0.53595,0.68875,0.64774,0.35043,2.08331,1.85559,2.44496,0.000523586,0.000523586,0.000523586
66,584.143,1.349,1.15126,1.49601,0.57267,0.73355,0.6326,0.30902,2.0792,2.01654,2.35973,0.000509438,0.000509438,0.000509438
67,593.292,1.25745,1.09052,1.40941,0.74782,0.67273,0.65559,0.33297,2.16465,2.00245,2.39428,0.000495291,0.000495291,0.000495291
68,601.237,1.31373,1.09118,1.46827,0.7087,0.6364,0.68417,0.34705,2.18552,1.94086,2.54549,0.000481144,0.000481144,0.000481144
69,610.144,1.27718,1.07924,1.42513,0.70433,0.65813,0.6821,0.35668,2.02835,1.62105,2.46981,0.000466997,0.000466997,0.000466997
70,617.868,1.34347,1.13893,1.51725,0.78026,0.71351,0.70898,0.35736,2.04003,1.61242,2.38171,0.00045285,0.00045285,0.00045285
71,627.268,1.23764,1.0191,1.40009,0.71618,0.63175,0.67151,0.3402,1.81558,1.78469,2.14167,0.000438703,0.000438703,0.000438703
72,634.965,1.28043,1.10953,1.43452,0.75277,0.58287,0.7119,0.34367,1.78609,1.80416,2.16779,0.000424556,0.000424556,0.000424556
